ma_short,take_profit_pct,total_return_pct,CAGR_pct,sharpe,sortino,max_drawdown_pct,profit_factor,num_trades
5,,-22.238796218863342,-1.5565837804176863,-0.4816645256495852,-0.48250176642880555,-26.02530411247357,0.6592500509078502,277
5,0.03,-24.294486758488855,-1.7209499850635912,-0.5597921342225578,-0.5371022602647149,-27.92744780949821,0.6188788479844546,277
5,0.05,-20.43851878865445,-1.4159521878325698,-0.4439506447667101,-0.43927213002991417,-24.35465719424502,0.6871552094544929,277
10,,-13.056857348123142,-0.868885065550884,-0.3051505365685883,-0.25582386025348275,-18.44160481116271,0.6719091170305738,141
10,0.03,-7.271057547832315,-0.4697361111515308,-0.17497306395129905,-0.13609931214300802,-14.188258977821178,0.8216018431263235,141
10,0.05,-9.901564529025164,-0.6482256637341921,-0.2285340562798396,-0.1892813466402554,-15.428004595312983,0.7545016030609554,141
15,,-7.297571808624959,-0.4715113907112545,-0.17753903331650148,-0.1375178044260095,-16.446843858138248,0.7794857753809618,95
15,0.03,-7.068484132950803,-0.45618836448995115,-0.19891009606275872,-0.13432748439665324,-14.608313865601657,0.7859950294979201,95
15,0.05,-6.108783355886594,-0.3923792786507785,-0.15461522936552324,-0.1150188964531025,-15.076248431081204,0.8173985888200399,95
20,,-4.6505062257807595,-0.296581692086495,-0.12290555083810317,-0.08551933262174105,-17.18575411586815,0.8081950301306035,68
20,0.03,-5.135314122394941,-0.32827648358175754,-0.1630251620433037,-0.09820170870109776,-14.67196140872518,0.7911359146936555,68
20,0.05,-3.5164631214670727,-0.22302866039450864,-0.10374484629838009,-0.06598631330814116,-15.272217447523367,0.8597600550894082,68
