MA_SHORT_DEFAULT,take_profit_pct,total_return_pct,CAGR_pct,sharpe,sortino,max_drawdown_pct,profit_factor,num_trades
5,,-53.873001518275586,-4.711555341287954,-0.599460550449,-0.5917533640309172,-54.18128819846657,0.5919449592003377,1370
5,0.03,-53.425333976165,-4.65413554342563,-0.594175000833514,-0.5849239497843127,-53.58138877913719,0.5996641346553394,1370
5,0.05,-53.873001518275586,-4.711555341287954,-0.599460550449,-0.5917533640309172,-54.18128819846657,0.5919449592003377,1370
10,,-38.129694898832376,-2.95026658705696,-0.38185658795549493,-0.35088777039818403,-40.191319434224184,0.6436708110408284,709
10,0.03,-38.427320475988665,-2.9794511281927227,-0.39524067812560454,-0.3554176882718258,-40.57936759915716,0.635463198808167,709
10,0.05,-39.06554878044759,-3.042483026580134,-0.3966133989172878,-0.3620300414583235,-41.09598906160425,0.629064255713942,709
15,,-28.29123686485744,-2.052859431624965,-0.280740819172924,-0.24572919256250025,-29.65719050934309,0.656881003784974,457
15,0.03,-27.099365296172408,-1.9521020268843947,-0.2762927063930553,-0.23580384583979555,-28.655694497712304,0.6709785222602839,457
15,0.05,-28.456492275649627,-2.0669534239798892,-0.28431634958007673,-0.24773377440541614,-29.81929803107996,0.6527749872250131,457
20,,-22.772241779825976,-1.5988412658808904,-0.23956823536594898,-0.192223891378944,-24.447211152619698,0.6507935772519141,351
20,0.03,-21.423298442511907,-1.4925056893253075,-0.23263392363756,-0.18206755041863262,-22.657458867225582,0.6728215997337635,351
20,0.05,-23.020755329313914,-1.6186210735239737,-0.24494393093091316,-0.19525399617362907,-24.229825389698263,0.6441518524304176,351
