ma_short,take_profit_pct,total_return_pct,CAGR_pct,sharpe,sortino,max_drawdown_pct,profit_factor,num_trades
5,,-46.27144062,-3.800596665,-0.501638851,-0.509575699,-47.25966028,0.651426996,1347
5,0.03,-45.4714486,-3.71187517,-0.494446857,-0.501998267,-46.26492755,0.660548459,1347
5,0.05,-45.80797195,-3.749046908,-0.495255699,-0.50358014,-46.8047161,0.656358978,1347
10,,-38.38659664,-2.975450033,-0.404011061,-0.379494987,-39.34856763,0.634724302,732
10,0.03,-36.42182374,-2.785298902,-0.385214416,-0.358021006,-37.83816375,0.660420488,732
10,0.05,-38.00454616,-2.938034058,-0.399291758,-0.375285143,-38.97248211,0.638668026,732
15,,-21.81934565,-1.523546992,-0.219555695,-0.19814988,-23.85724898,0.728002648,458
15,0.03,-20.20881832,-1.398223863,-0.20725665,-0.185287054,-22.5592461,0.74952083,458
15,0.05,-22.00069574,-1.537810054,-0.22233386,-0.200008123,-24.0338719,0.724898291,458
20,,-15.41876864,-1.039030916,-0.165567636,-0.1374615,-17.55658553,0.762871311,354
20,0.03,-15.12419001,-1.017568815,-0.16821952,-0.13736493,-16.72116544,0.767291784,354
20,0.05,-14.43493258,-0.967623256,-0.154267469,-0.127605913,-16.55326958,0.779310308,354
