entry_date,entry_price,exit_date,exit_price,qty,pnl,pct_return,holding_days,exit_reason,cash_before,cash_after
10/11/2009,1.47485706,10/28/2009,1.483307975,3390.159044,28.64994591,0.572998918,17,trailing_atr,10000,10028.64995
11/13/2009,1.49424675,12/6/2009,1.486546355,3355.754311,-25.84063372,-0.515336239,23,trailing_atr,10028.64995,10002.80931
1/8/2010,1.44454191,1/17/2010,1.43636146,3462.277295,-28.32298629,-0.566300634,9,trailing_atr,10002.80931,9974.486326
3/9/2010,1.36416174,3/10/2010,1.367266025,3655.903121,11.34896522,0.227559893,1,ma_cross,9974.486326,9985.835291
3/11/2010,1.36930431,3/19/2010,1.362008655,3646.317045,-26.60227118,-0.53280012,8,trailing_atr,9985.835291,9959.23302
4/11/2010,1.36810371,4/21/2010,1.344277525,3639.79461,-86.72241975,-1.741548161,10,trailing_atr,9959.23302,9872.5106
6/20/2010,1.2472233,7/29/2010,1.309754795,3957.79593,247.4868964,5.013656737,39,take_profit,9872.5106,10119.9975
9/6/2010,1.29240588,9/8/2010,1.27564186,3915.177752,-65.63411814,-1.29711728,2,trailing_atr,10119.9975,10054.36338
11/4/2010,1.428884085,11/9/2010,1.396471415,3518.257178,-114.0361089,-2.268390441,5,trailing_atr,10054.36338,9940.32727
12/15/2010,1.338378855,12/20/2010,1.317590875,3713.570052,-77.19761998,-1.553220893,5,ma_cross,9940.32727,9863.12965
1/4/2011,1.34365149,1/6/2011,1.31632151,3670.270797,-100.3084275,-2.034008089,2,trailing_atr,9863.12965,9762.821222
1/20/2011,1.35285609,2/6/2011,1.35690121,3608.226069,14.59570743,0.299005935,17,trailing_atr,9762.821222,9777.41693
2/25/2011,1.384461885,3/27/2011,1.404647325,3531.125355,71.27731898,1.457998968,30,trailing_atr,9777.41693,9848.694249
6/2/2011,1.451915595,6/12/2011,1.43344292,3391.620795,-62.65230867,-1.272296755,10,trailing_atr,9848.694249,9786.04194
7/3/2011,1.45846887,7/10/2011,1.421938675,3354.902577,-122.5552453,-2.504694872,7,trailing_atr,9786.04194,9663.486695
7/27/2011,1.454256765,8/10/2011,1.43935996,3322.482978,-49.49438104,-1.024358652,14,ma_cross,9663.486695,9613.992313
8/18/2011,1.445812545,9/2/2011,1.428015635,3324.771371,-59.17065685,-1.2309279,15,trailing_atr,9613.992313,9554.821657
10/14/2011,1.390044675,11/1/2011,1.386356475,3436.875745,-12.67588512,-0.265329602,18,trailing_atr,9554.821657,9542.145771
1/24/2012,1.30657296,2/16/2012,1.314852245,3651.593162,30.23258049,0.633664193,23,trailing_atr,9542.145771,9572.378352
3/26/2012,1.33740837,4/4/2012,1.322608365,3578.704368,-52.96484255,-1.106618243,9,trailing_atr,9572.378352,9519.413509
4/26/2012,1.326913125,5/6/2012,1.302558395,3587.052283,-87.36168985,-1.835442693,10,trailing_atr,9519.413509,9432.05182
6/14/2012,1.26425181,6/24/2012,1.255142115,3730.29002,-33.98180435,-0.720560171,10,trailing_atr,9432.05182,9398.070015
8/2/2012,1.23949944,8/19/2012,1.23446246,3791.074732,-19.0955676,-0.406372108,17,ma_cross,9398.070015,9378.974448
8/22/2012,1.254977175,9/26/2012,1.29061437,3736.711167,133.1659045,2.839668777,35,trailing_atr,9378.974448,9512.140352
10/11/2012,1.295757555,10/26/2012,1.294942205,3670.49388,-2.992737185,-0.06292458,15,trailing_atr,9512.140352,9509.147615
11/25/2012,1.298338845,12/7/2012,1.29657139,3662.043869,-6.472497747,-0.136132028,12,trailing_atr,9509.147615,9502.675117
1/16/2013,1.33312623,2/8/2013,1.34220856,3564.056765,32.36993968,0.681280572,23,trailing_atr,9502.675117,9535.045057
4/10/2013,1.312826085,4/24/2013,1.30264835,3631.495887,-36.96040279,-0.775253868,14,trailing_atr,9535.045057,9498.084654
5/5/2013,1.3132563,5/12/2013,1.297161095,3616.234186,-58.20403055,-1.22559511,7,trailing_atr,9498.084654,9439.880624
5/31/2013,1.30549242,6/23/2013,1.310754295,3615.44827,19.02403687,0.403056726,23,trailing_atr,9439.880624,9458.90466
7/17/2013,1.31833884,8/14/2013,1.327326005,3587.433053,32.24085278,0.681703726,28,trailing_atr,9458.90466,9491.145513
9/17/2013,1.33758846,11/1/2013,1.357470925,3547.857131,70.54014524,1.486441129,45,trailing_atr,9491.145513,9561.685658
11/22/2013,1.356367845,12/22/2013,1.36707612,3524.739138,37.743876,0.789481632,30,trailing_atr,9561.685658,9599.429534
1/2/2014,1.37814873,1/8/2014,1.36281825,3482.726256,-53.39186522,-1.112396628,6,ma_cross,9599.429534,9546.037669
